"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
,,,,"HSFG-HDC-001","Running",,
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - 19e827a9-860b-4797-9c27-eb0395950c1a","Standard"
,,,,"HSFG-PRXY-001","Running",,
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - 6242afc5-29e7-4f06-a9cf-fae3d7f160e7","Standard"
,,,,"HSFG-SQL-002","Running",,
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - 0f902137-a1c0-4b92-8e66-eafc9ad465f4","Standard"
,,,,"HSFG-TSE-001","Running",,
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - 9ff5a3bd-b4cd-4459-81ef-d9a099fc3199","Standard"
,,,,"HSFG-TSE-003","Running",,
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - d267c06e-b307-4e00-8793-449f52b74b0a","Standard"
,,,,"HSFG-TSETST-001","Off",,
,,,,"HSFG-TSP-001","Off",,
,,,,"POS00503","Off",,
,,,,"POS00601","Off",,
"MW-HVS-001","C:","443.75","402.13",,,,
"MW-HVS-001","D:","4469.98","2704.87",,,,
,,,,"MW-APP-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 7648e979-c3cf-4ee5-8afb-7378707632fc","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - e079641f-6a8c-4c4f-8cfc-13924289eaef","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 790e0013-eee4-41fc-8f29-b78165c8468b","Standard"
,,,,"MW-EXCH-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 182b7462-0bcc-4819-8e64-5364273eac7d","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - f6be66d4-f321-4368-8136-0b4c329d7623","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 7ed10ebb-9cc9-4e99-ae41-b0b5868b87e1","Standard"
,,,,"MW-FS-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 6512d199-ed87-4465-97e0-1b308e6cf095","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - e784772f-5b39-4e39-816a-8dfeb6cba005","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 7298925a-edcc-4a1c-b5c4-e7b641dd4fdc","Standard"
,,,,"MW-HDC-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 16787b11-ca99-4855-bdc0-1c36f5db5050","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - fd953e29-3f11-42a6-b11f-a00bb0a44cd4","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - b8ed162a-8148-45a1-833d-6d6afc740d26","Standard"
,,,,"MW-PRXY-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 2f6fc7f2-5d8c-46af-be77-8cbcfc5682ae","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - f95559cb-6264-4798-8d51-7d09820a8f2f","Standard"
,,,,"MW-RDG-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 5b0fead9-8677-4540-bf26-2fc71b2b1fa5","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 1d94c9fc-8fb7-482b-ab48-421b9612b8bc","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - c13bc324-b057-4910-baa0-1495ac1f2eea","Standard"
,,,,"MW-SQL-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - c22fda87-7dec-4910-9096-28424eb90620","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - a04183e1-ff5b-43a4-b521-3c0323b1627b","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 3dd2ffb4-7540-4df5-b537-9c5432dbc688","Standard"
,,,,"MW-TSE-001","Running",,
"MW-HVS-001",,,,,,"Rolling Checkpoint - 6957062e-aa13-4db9-ac5b-b7783efa06b0","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 1ebed027-f94c-4906-9771-ad1b09c1aa0d","Standard"
"MW-HVS-001",,,,,,"Rolling Checkpoint - 427e9a83-147f-4be6-8eed-93505a8eb7b9","Standard"
"NAIL-HVS-001","C:","1861.95","1660.01",,,,
"NAIL-HVS-001","D:","3724.87","2665.93",,,,
,,,,"NAIL-FS-001","Running",,
"NAIL-HVS-001",,,,,,"Rolling Checkpoint - b5291ec3-fc08-461f-8482-87bbe6d2d93d","Standard"
"NAIL-HVS-001",,,,,,"Rolling Checkpoint - 2093e572-5d74-4ace-afa5-02c25b6f655d","Standard"
"NAIL-HVS-001",,,,,,"Rolling Checkpoint - adcba401-0b87-4dc8-aeff-79794e18408a","Standard"
,,,,"NAIL-HDC-001","Running",,
"NAIL-HVS-001",,,,,,"Rolling Checkpoint - 6356e2b8-ae1c-4a1e-8fc8-54d7ae3e7e4f","Standard"
"NAIL-HVS-001",,,,,,"Rolling Checkpoint - 88f0b445-54ed-47cb-a16f-a68b99092b15","Standard"
"NAIL-HVS-001",,,,,,"Rolling Checkpoint - cefa8833-7fb4-48e3-9fcd-0c69e8bb0c2d","Standard"
"ODC-HVS-001","","0","0",,,,
"ODC-HVS-001","","0","0",,,,
"ODC-HVS-002","C:","278.32","268.06",,,,
"ODC-HVS-002","D:","1116.62","858.53",,,,
,,,,"ODC-APP-001","Running",,
"ODC-HVS-002",,,,,,"Rolling Checkpoint - 6ee84270-612f-41c5-96a1-55a805b90abb","Standard"
"ODC-HVS-002",,,,,,"Rolling Checkpoint - c22c3d51-f375-4839-9a06-784b0e225615","Standard"
"ODC-HVS-005","C:","1116.7","888.93",,,,
"ODC-HVS-005","D:","6704.87","228.28",,,,
,,,,"ODC-FS-001","Running",,
"ODC-HVS-005",,,,,,"Rolling Checkpoint - 3f8864a2-f738-4094-bc33-5287185b2544","Standard"
,,,,"ODC-HDC-001","Running",,
"ODC-HVS-005",,,,,,"Rolling Checkpoint - 39111599-ea9b-4452-9cbd-0b0ecdd8a799","Standard"
,,,,"ODC-HDC-002","Running",,
"ODC-HVS-005",,,,,,"Rolling Checkpoint - d425d7ec-6842-45f5-b2b3-0d7a857184a9","Standard"
,,,,"ODC-SQL-002","Running",,
,,,,"ODC-SRV-001","Running",,
"ODC-HVS-005",,,,,,"ODC-SRV-001 - (12/1/2023 - 8:34:32 AM)","Standard"
"ODC-HVS-005",,,,,,"ODC-SRV-001 - (12/4/2023 - 8:41:14 AM)","Standard"
,,,,"ODC-TSE-001","Off",,
